                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2007,                 2.0018,                 1.2964,                0.28674,                0.46312,                0.39077,                0.26746,                 1.3833,                  2.686,                 1.3645,              9.731e-05,              9.731e-05,              9.731e-05
                      2,                 1.1981,                  2.027,                 1.2995,                 0.4422,                 0.2827,                0.32658,                0.21624,                 1.4681,                 2.5991,                 1.4573,             0.00019338,             0.00019338,             0.00019338
                      3,                 1.1866,                 2.0225,                 1.2873,                0.26647,                0.32885,                0.25132,                 0.1618,                 1.5118,                 2.8408,                 1.4678,              0.0002875,              0.0002875,              0.0002875
                      4,                 1.2038,                 2.0039,                 1.2973,                0.26028,                0.38797,                0.31978,                 0.2059,                 1.4633,                 2.9219,                 1.4829,             0.00028527,             0.00028527,             0.00028527
                      5,                 1.2075,                 1.9748,                 1.2985,                0.27152,                0.46244,                  0.345,                0.21566,                 1.4378,                 2.6251,                 1.4046,             0.00028236,             0.00028236,             0.00028236
                      6,                 1.2165,                 1.9536,                 1.3062,                0.38237,                0.38654,                0.38698,                0.24355,                 1.4991,                 2.7174,                 1.4254,             0.00027945,             0.00027945,             0.00027945
                      7,                 1.1954,                 1.9333,                 1.2872,                0.36999,                0.40255,                0.37613,                0.24222,                 1.3934,                 2.5659,                 1.3756,             0.00027654,             0.00027654,             0.00027654
                      8,                 1.2011,                 1.8965,                 1.2888,                0.37546,                0.43985,                0.37488,                0.23477,                 1.4353,                 2.8333,                 1.4041,             0.00027363,             0.00027363,             0.00027363
                      9,                 1.1611,                  1.886,                 1.2818,                0.30171,                 0.4804,                0.38227,                0.26234,                 1.4235,                 2.4987,                 1.4203,             0.00027072,             0.00027072,             0.00027072
                     10,                 1.1745,                 1.8289,                 1.2779,                0.48539,                0.25478,                0.37518,                0.26573,                 1.4676,                 2.5873,                 1.4192,              0.0002678,              0.0002678,              0.0002678
                     11,                 1.1648,                 1.8615,                 1.2801,                0.30675,                0.44105,                0.33989,                0.20599,                 1.4568,                 2.5025,                 1.4339,             0.00026489,             0.00026489,             0.00026489
                     12,                 1.1888,                 1.8262,                 1.2768,                0.39737,                0.32209,                0.36968,                0.25456,                 1.4616,                   2.45,                  1.433,             0.00026198,             0.00026198,             0.00026198
                     13,                 1.1642,                 1.8165,                 1.2734,                0.29639,                0.47538,                0.33201,                0.22097,                  1.466,                  2.635,                 1.4405,             0.00025907,             0.00025907,             0.00025907
                     14,                 1.1523,                 1.7763,                 1.2675,                0.55687,                0.37333,                0.36426,                 0.2654,                 1.3965,                 2.6223,                  1.384,             0.00025616,             0.00025616,             0.00025616
                     15,                  1.162,                 1.7399,                 1.2688,                0.36195,                0.38108,                0.40544,                0.27431,                 1.4341,                 2.4541,                 1.4175,             0.00025325,             0.00025325,             0.00025325
                     16,                 1.1609,                 1.7363,                 1.2653,                 0.2829,                0.48167,                0.40414,                0.27735,                 1.4274,                 2.4912,                 1.4141,             0.00025034,             0.00025034,             0.00025034
                     17,                  1.185,                 1.7762,                 1.2811,                 0.3191,                0.51151,                0.43317,                0.29013,                 1.4211,                 2.3508,                 1.3627,             0.00024743,             0.00024743,             0.00024743
                     18,                 1.1862,                   1.76,                 1.2831,                0.59964,                0.34949,                 0.4103,                 0.2712,                 1.3697,                 2.5147,                 1.3528,             0.00024452,             0.00024452,             0.00024452
                     19,                 1.1692,                 1.7361,                 1.2645,                0.45864,                0.47852,                0.42993,                 0.2746,                 1.4191,                 2.5161,                 1.3912,             0.00024161,             0.00024161,             0.00024161
                     20,                 1.1616,                 1.6824,                 1.2634,                0.32614,                0.47729,                0.40525,                0.29032,                 1.3965,                 2.4292,                  1.357,              0.0002387,              0.0002387,              0.0002387
                     21,                 1.1712,                 1.7135,                 1.2755,                   0.43,                0.41739,                0.45157,                0.29851,                 1.4242,                 2.4187,                 1.3983,             0.00023579,             0.00023579,             0.00023579
                     22,                 1.1756,                 1.6829,                 1.2734,                0.33149,                0.49365,                0.43013,                0.29918,                 1.4195,                 2.3546,                 1.4129,             0.00023288,             0.00023288,             0.00023288
                     23,                 1.1691,                 1.6832,                 1.2708,                0.41305,                0.43738,                 0.4334,                  0.304,                 1.4601,                   2.34,                  1.413,             0.00022997,             0.00022997,             0.00022997
                     24,                 1.1565,                 1.6356,                 1.2604,                0.41009,                0.48192,                0.44923,                0.30916,                  1.426,                 2.4996,                 1.4141,             0.00022706,             0.00022706,             0.00022706
                     25,                 1.1551,                 1.6402,                  1.264,                 0.3576,                0.42876,                0.41048,                0.29251,                 1.3988,                 2.5331,                 1.3669,             0.00022415,             0.00022415,             0.00022415
